Rank,Method,Dim,Last,Mean,Std
0,Original,Dim=0.2,Last=40,0.24024907708134802,0.07617250126288881
0,Original,Dim=0.2,Last=30,0.2418838261965778,0.021760132282928942
0,MCA Symbolic,Dim=0.4,Last=40,0.2432276496105615,0.13397050780597441
0,MCA Symbolic,Dim=0.6,Last=30,0.24476126788552272,0.14909287680837452
0,FAMD Both,Dim=1.0,Last=40,0.24476126788552272,0.15475343622947524
0,FAMD Both,Dim=0.6,Last=40,0.24809858561438736,0.1368863021069424
0,MCA Symbolic,Dim=0.6,Last=40,0.2508182472349841,0.14776683575414037
0,FAMD Both,Dim=1.0,Last=30,0.2511836746499193,0.09526551333625552
0,MCA Symbolic,Dim=1.0,Last=40,0.25212147868448126,0.16180712377756604
0,FAMD Both,Dim=0.2,Last=20,0.2568580722407313,0.08713180962617993
0,FAMD Both,Dim=0.2,Last=40,0.25942972777951484,0.14811025767420014
0,MCA Symbolic,Dim=0.2,Last=40,0.25968923709547037,0.14626353210929113
1,MCA Symbolic,Dim=1.0,Last=30,0.27185046997416373,0.09315542620814699
1,Original,Dim=0.2,Last=20,0.27239731454733235,0.0744655209534823
1,FAMD Both,Dim=0.2,Last=30,0.2760221670025228,0.14774587591375554
1,MCA Symbolic,Dim=0.8,Last=20,0.278992760767218,0.08311764956318755
1,MCA Symbolic,Dim=0.2,Last=20,0.281806771278243,0.09525059211159502
1,MCA Symbolic,Dim=0.4,Last=20,0.2829370630068074,0.13536870057841055
1,MCA Symbolic,Dim=1.0,Last=20,0.2876449330107918,0.09404438836037887
1,MCA Symbolic,Dim=0.2,Last=30,0.29714165747862065,0.1562996335253722
1,FAMD Both,Dim=0.4,Last=40,0.35567207876237394,0.08304806912651977
1,MCA Symbolic,Dim=0.8,Last=40,0.35805004979247734,0.08402690925601508
1,FAMD Both,Dim=0.8,Last=30,0.35976897487337456,0.0908726346703249
1,FAMD Both,Dim=0.4,Last=20,0.36436324721753055,0.08356571484992692
2,FAMD Both,Dim=0.8,Last=40,0.37827083218015256,0.08879129914482606
2,MCA Symbolic,Dim=0.8,Last=30,0.3794668489814359,0.08986044579850729
2,MCA Symbolic,Dim=0.4,Last=30,0.385070933709931,0.07971475324673379
2,MCA Symbolic,Dim=0.6,Last=20,0.3923885578532736,0.08377605347118643
2,FAMD Both,Dim=0.8,Last=20,0.3929434809255168,0.0885322620096613
2,FAMD Both,Dim=0.4,Last=30,0.3993972043406474,0.0769842860102836
2,FAMD Both,Dim=0.6,Last=30,0.4008187209741274,0.08639116366789787
2,FAMD Both,Dim=0.6,Last=20,0.40375739968074975,0.07528657789792469
2,FAMD Both,Dim=1.0,Last=20,0.4062669205908475,0.09074169410613647
