Rank,Method,Dim,Last,Mean,Std
0,FAMD Both,Dim=0.8,Last=20,0.07760897509509879,0.307586195826122
0,PCA Numeric,Dim=0.6,Last=40,0.07760897509509879,0.1583169196818422
0,Original,Dim=0.2,Last=40,0.08192058482260434,0.1381062490841602
0,MCA Symbolic,Dim=0.8,Last=40,0.08192058482260434,0.15494847458222852
0,FAMD Both,Dim=1.0,Last=40,0.08192058482260434,0.1480572242244335
0,PCA Numeric,Dim=0.8,Last=30,0.08192058482260434,0.14652736183319437
0,Original,Dim=0.8,Last=40,0.08623219455010978,0.1396361114753993
0,MCA Symbolic,Dim=0.6,Last=40,0.08623219455010978,0.28240201603886045
0,FAMD Both,Dim=0.6,Last=40,0.08623219455010978,0.258612372522839
0,FAMD Both,Dim=0.8,Last=40,0.08623219455010978,0.13305358143473972
0,Original,Dim=0.4,Last=40,0.09054380427761533,0.13642202653435337
0,Original,Dim=0.8,Last=30,0.09054380427761533,0.29889560746911875
0,Original,Dim=1.0,Last=40,0.09054380427761533,0.3034615348016451
0,MCA Symbolic,Dim=0.6,Last=30,0.09054380427761533,0.10779024318763722
0,FAMD Both,Dim=0.2,Last=40,0.09054380427761533,0.026947560796909294
0,PCA Numeric,Dim=1.0,Last=40,0.09054380427761533,0.23919665496866588
0,Original,Dim=0.2,Last=20,0.09485541400512076,0.14484313928338757
0,Original,Dim=0.6,Last=40,0.09485541400512076,0.10105335298840994
0,Original,Dim=1.0,Last=30,0.09485541400512076,0.10595166047926267
0,MCA Symbolic,Dim=0.2,Last=40,0.09485541400512076,0.06063201179304593
0,MCA Symbolic,Dim=0.8,Last=30,0.09485541400512076,0.3029158466955077
0,FAMD Both,Dim=0.4,Last=30,0.09485541400512076,0.04378978629497763
0,PCA Numeric,Dim=0.2,Last=30,0.09485541400512076,0.04042134119536397
0,PCA Numeric,Dim=0.8,Last=40,0.09485541400512076,0.24908809400368134
0,MCA Symbolic,Dim=0.2,Last=30,0.0991670237326262,0.10273757553821675
0,MCA Symbolic,Dim=0.6,Last=20,0.0991670237326262,0.2979659166216254
0,MCA Symbolic,Dim=1.0,Last=40,0.0991670237326262,0.29994656234019823
0,FAMD Both,Dim=0.2,Last=20,0.0991670237326262,0.1381062490841602
0,FAMD Both,Dim=0.4,Last=40,0.0991670237326262,0.02694756079690934
0,FAMD Both,Dim=1.0,Last=30,0.0991670237326262,0.30068593603956345
0,PCA Numeric,Dim=0.4,Last=20,0.0991670237326262,0.11957980103628504
0,PCA Numeric,Dim=0.8,Last=20,0.0991670237326262,0.1381062490841602
0,Original,Dim=0.6,Last=20,0.10347863346013175,0.2540649716383605
0,FAMD Both,Dim=0.6,Last=30,0.10347863346013175,0.1381062490841602
0,FAMD Both,Dim=0.8,Last=30,0.10347863346013175,0.296434958323851
0,PCA Numeric,Dim=0.2,Last=20,0.10347863346013175,0.09431646278918256
0,PCA Numeric,Dim=0.4,Last=40,0.10347863346013175,0.0808426823907279
0,PCA Numeric,Dim=0.6,Last=30,0.10347863346013175,0.28577046113847415
0,Original,Dim=0.4,Last=30,0.10779024318763719,0.14147469418377387
0,Original,Dim=0.6,Last=30,0.10779024318763719,0.08589535004014841
0,MCA Symbolic,Dim=0.4,Last=40,0.10779024318763719,0.03368445099613663
0,FAMD Both,Dim=0.6,Last=20,0.10779024318763719,0.15663269713203534
0,PCA Numeric,Dim=0.2,Last=40,0.10779024318763719,0.03200022844632978
0,MCA Symbolic,Dim=0.4,Last=20,0.11210185291514274,0.1111586882872509
0,MCA Symbolic,Dim=0.8,Last=20,0.11210185291514274,0.29486863135253066
0,MCA Symbolic,Dim=1.0,Last=30,0.11210185291514274,0.14652736183319434
0,FAMD Both,Dim=0.2,Last=30,0.11210185291514274,0.08589535004014841
0,PCA Numeric,Dim=1.0,Last=30,0.11210185291514274,0.10442179808802356
0,Original,Dim=0.2,Last=30,0.11641346264264818,0.23484125545486537
0,MCA Symbolic,Dim=0.4,Last=30,0.11641346264264818,0.04547400884478449
0,FAMD Both,Dim=0.4,Last=20,0.11641346264264818,0.12463246868570552
0,PCA Numeric,Dim=0.4,Last=30,0.11641346264264818,0.0370528960957503
0,PCA Numeric,Dim=1.0,Last=20,0.11641346264264818,0.24356780080142906
0,MCA Symbolic,Dim=1.0,Last=20,0.12503668209765917,0.13473780398454652
0,PCA Numeric,Dim=0.6,Last=20,0.12503668209765917,0.30153646842721593
0,MCA Symbolic,Dim=0.2,Last=20,0.13365990155267016,0.11621135593667141
0,FAMD Both,Dim=1.0,Last=20,0.13365990155267016,0.2413507756098688
1,Original,Dim=0.4,Last=20,0.14659473073518658,0.10779024318763722
2,Original,Dim=0.8,Last=20,0.2759430225603513,0.297211384919312
2,Original,Dim=1.0,Last=20,0.2845662420153623,0.1381062490841602
