Rank,Method,Dim,Last,Mean,Std
0,PCA Numeric,Dim=0.6,Last=30,0.3022814279934017,0.04474887408955361
0,PCA Numeric,Dim=0.8,Last=40,0.30331081240893193,0.08789943956394526
0,Original,Dim=0.4,Last=40,0.3033113624600048,0.08550715808962886
0,PCA Numeric,Dim=0.6,Last=40,0.3108717980640542,0.055108456663951415
0,Original,Dim=0.6,Last=30,0.31196476592851674,0.05524876266011312
0,FAMD Both,Dim=1.0,Last=40,0.31196476592851674,0.07529425669673367
0,MCA Symbolic,Dim=0.4,Last=40,0.312227690341049,0.07545377745975478
0,Original,Dim=0.6,Last=40,0.3134405529553428,0.053866058483621984
0,Original,Dim=1.0,Last=20,0.31350655908401126,0.06449714090328242
0,Original,Dim=0.8,Last=30,0.31462426286280704,0.09109699862273958
0,MCA Symbolic,Dim=0.8,Last=40,0.32344488185728054,0.05766502480656955
0,Original,Dim=1.0,Last=30,0.3244668767495074,0.06976044210079918
0,Original,Dim=0.8,Last=20,0.32569184048738925,0.07026709070562234
0,Original,Dim=1.0,Last=40,0.326030121896818,0.05884053943854533
0,Original,Dim=0.2,Last=30,0.3260873272083314,0.07979419620079549
0,PCA Numeric,Dim=0.2,Last=30,0.32787389309097315,0.062349148493437485
0,FAMD Both,Dim=0.6,Last=40,0.32982663637212495,0.06318275189591449
0,Original,Dim=0.8,Last=40,0.3308711213836214,0.05183758655741225
0,FAMD Both,Dim=0.2,Last=40,0.3322324977874207,0.0678142067053428
0,Original,Dim=0.2,Last=40,0.33383149625442665,0.04874118577534909
0,PCA Numeric,Dim=0.8,Last=30,0.33468792577390855,0.07446774101100333
0,Original,Dim=0.4,Last=30,0.3347775840986843,0.053574311758847214
0,PCA Numeric,Dim=1.0,Last=30,0.335367788899199,0.046453531960442634
0,PCA Numeric,Dim=0.2,Last=40,0.34272142168400355,0.07014375894176723
0,Original,Dim=0.4,Last=20,0.34343373782255643,0.04150597746005722
0,FAMD Both,Dim=0.8,Last=40,0.3443633241346455,0.05622330348377467
0,PCA Numeric,Dim=1.0,Last=40,0.3443633241346455,0.07117660874812243
0,FAMD Both,Dim=0.8,Last=30,0.3447586292757321,0.06150903142606828
0,MCA Symbolic,Dim=0.2,Last=40,0.3447885136134899,0.04461084270342458
0,MCA Symbolic,Dim=0.2,Last=30,0.34590634629151223,0.08742051933897055
0,Original,Dim=0.6,Last=20,0.3465668287300474,0.07043591569832679
0,MCA Symbolic,Dim=0.2,Last=20,0.3465668287300474,0.09624423040131395
0,PCA Numeric,Dim=0.8,Last=20,0.3477681402718239,0.055142291856829256
0,PCA Numeric,Dim=0.4,Last=30,0.3504809921601218,0.05081098429566416
0,MCA Symbolic,Dim=0.4,Last=30,0.3507186142233304,0.054007047931293455
0,MCA Symbolic,Dim=0.6,Last=40,0.3542774446607366,0.06106289521432971
0,PCA Numeric,Dim=1.0,Last=20,0.35486599930803675,0.051269278513262524
0,MCA Symbolic,Dim=1.0,Last=30,0.3575755508898998,0.06838595901129438
0,MCA Symbolic,Dim=0.8,Last=20,0.3592620074773942,0.06418727264499652
0,PCA Numeric,Dim=0.4,Last=20,0.3594960938715802,0.059290563722591644
0,PCA Numeric,Dim=0.2,Last=20,0.3604924717260002,0.05168396545444534
0,PCA Numeric,Dim=0.6,Last=20,0.3610210708064249,0.05490186836195794
0,FAMD Both,Dim=0.4,Last=40,0.3616281241246225,0.025133665263469194
0,PCA Numeric,Dim=0.4,Last=40,0.3625260105400785,0.061772239458683695
0,Original,Dim=0.2,Last=20,0.36548198500230716,0.06600591380534697
0,FAMD Both,Dim=0.2,Last=20,0.3685299884839241,0.07301802402035541
0,MCA Symbolic,Dim=1.0,Last=40,0.37321515302695807,0.047652471406969904
0,FAMD Both,Dim=0.2,Last=30,0.37627838744827474,0.07827470310128046
0,MCA Symbolic,Dim=0.8,Last=30,0.37641810042062523,0.045597300115565814
0,FAMD Both,Dim=0.4,Last=20,0.3767728833622206,0.07245419587833422
0,MCA Symbolic,Dim=0.6,Last=30,0.3777948782544456,0.05160811212571049
0,MCA Symbolic,Dim=0.6,Last=20,0.37857980113453477,0.05458098731501324
0,FAMD Both,Dim=1.0,Last=30,0.38206137757166425,0.0490010787693346
0,MCA Symbolic,Dim=0.4,Last=20,0.382154033001964,0.07706043631151122
0,FAMD Both,Dim=0.8,Last=20,0.382154033001964,0.08455037003310746
0,FAMD Both,Dim=0.4,Last=30,0.3903794967362714,0.08556302265165286
0,MCA Symbolic,Dim=1.0,Last=20,0.391780011827321,0.06935395473197774
0,FAMD Both,Dim=0.6,Last=30,0.3920103981654709,0.062008589528787926
0,FAMD Both,Dim=1.0,Last=20,0.3923246910890471,0.06891216021282563
0,FAMD Both,Dim=0.6,Last=20,0.39732279142118365,0.05156707315899301
